prompt_id,prompt
1,"Describe a situation where a person felt <class>"
2,"Write a text that expresses <class>"
3,"Phrases that express <class>"
4,"What is a sentence example for <class>? "
5,"Can you provide an example of a situation where someone experienced <class>?"
6,"What is an example of a <class> sentence?"
7,"<class> sentence"
8,"Experience for <class>?"
9,"Please describe a situation or event — in as much detail as possible — in which a reader felt <class>"
10,"Please complete the sentence: I felt <class> when/because"